Gene,SYMBOL,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12
g10165,g10165,7.227512315,6.995344947,7.831663972,8.083604074,7.227663532,7.460421274,7.02444691,8.552978609,6.941369629,6.890326772,6.865888961,7.277932309
g10166,SYCP2L,4.787061576,0.256962175,3.758307663,-0.928558464,6.246770232,5.994494627,-1.279436251,3.931410224,5.059675706,3.569169311,2.561147346,4.676286007
g10167,g10167,-0.567751854,-1.208001502,-1.422033147,-0.230462493,0.343522258,0.004726515,-1.540330236,0.572309951,-2.217986195,-0.645135142,-2.750286568,-0.018987002
g10168,g10168,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10169,g10169,-1.866271348,-2.750286568,-2.750286568,0.593503536,-2.750286568,-1.863838977,-0.404342502,-2.22740779,-2.750286568,-2.750286568,-1.452304347,-0.523080258
g1017,PIK3C2A,6.646239078,7.023210567,6.523199045,6.463669891,6.663864977,7.019725526,7.357926983,6.777857482,6.602581889,6.325324291,6.804235128,7.90696556
g10170,g10170,0.701226827,-0.623576472,1.347615892,-2.750286568,1.832040742,1.279804758,0.058427378,0.17031083,2.59441367,1.63488276,1.095991889,-1.933122375
g10171,UMODL1,0.986931167,-0.601922018,0.679879727,-2.750286568,1.705983651,1.367615208,0.708221069,-0.555872522,2.379249242,0.797149121,0.91591686,0.191782089
g10172,g10172,2.243854861,1.34730398,3.445765196,3.294449485,3.389048193,3.209755409,3.22049913,3.321630678,2.262022027,2.713390873,3.650595957,3.838233457
g10173,GPR128,0.961396302,0.119938808,0.777618123,-0.201931668,3.45549248,2.275112869,2.249431144,1.24796792,4.50568591,2.320095731,2.195059177,1.128252526
g10174,GPR128,4.995621129,3.426441944,4.666192464,1.092277477,5.047476358,5.082756334,4.02910993,3.961683212,4.607654322,3.205365487,5.324076996,4.872094018
g10175,TRAIP,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10176,SEMA4D,2.783537219,-1.777446427,3.531756364,1.802712716,3.878451519,4.71563803,0.34323836,2.616185369,1.076099274,1.137075132,2.452311596,-0.02240242
g10177,SEMA4D,4.414289319,-0.612404082,4.05584351,2.141378612,4.327231421,4.988737236,1.213226501,3.841074149,2.210666816,2.454033768,3.20597696,0.664753205
g10178,g10178,5.662529923,5.342813613,5.965130374,5.72366802,5.383507262,5.531024899,5.752121385,3.067946,5.157194195,5.628574306,5.496008243,5.324172547
g1018,FAM91A1,6.719903708,6.691839812,6.034032738,5.968683811,7.027835068,6.41534153,7.056631366,6.181440032,6.415248758,6.354884983,6.366704363,7.04484393
g10180,g10180,2.669122815,4.981650804,2.932222265,1.61263184,1.79638987,1.734803829,1.025055341,2.933540635,3.169057135,3.283439418,3.302066263,3.194977917
g10181,Sema-5c,-0.356857691,-2.750286568,-1.979347435,-2.750286568,-1.224706174,0.922307246,-2.750286568,1.364262949,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10182,g10182,2.442861837,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,2.562570411,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10183,CIITA,1.500515279,2.317852636,2.830171096,4.882670996,3.534508652,3.311482188,2.953334729,3.881355785,3.070702863,4.298360886,-0.814599661,3.99021949
g10184,smp-1,1.126594704,1.229611088,2.769754485,2.274891083,2.876622702,3.058545087,0.098287763,2.08504049,1.08162059,1.915929037,2.461792941,1.926635325
g10185,SEMA4A,1.705350858,1.641019302,2.771723193,0.522864107,2.276062338,3.187661789,2.517276614,1.039231301,1.853454796,2.648634693,1.679081982,1.536774001
g10186,FNBP1,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568
g10187,FNBP1,-1.109091742,-2.750286568,-2.750286568,-0.768400754,-1.532068451,-2.750286568,-1.334368982,-2.750286568,-2.155549914,-2.750286568,-1.395521138,-2.750286568
g10188,g10188,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.750286568,-2.138064495,-2.750286568,-2.750286568,-2.750286568
g10189,CIITA,-0.120386738,0.534447834,-2.750286568,2.345882292,1.203425666,0.612726408,1.002033806,1.738841635,1.781233808,2.436738643,-1.105850282,2.117441068
