Gene,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
g3611,PTPRE,0.977897916,2.209960458,1.43289433,0.175561663,0.665410052,-4.583732665
g3615,SPAG6,0.021919889,7.441191285,0.067442343,0.947258681,0.992268101,-6.198993231
g3616,g3616,-0.688414548,4.725887821,-1.843468358,0.088235596,0.551521825,-4.50587157
g3617,g3617,-1.532488269,2.174336682,-2.775557789,0.015784229,0.352903037,-2.967498894
g3618,LDLRAD2,-0.341551758,0.889115784,-0.794161375,0.441397872,0.837378053,-4.872425367
g3619,CYP26A1,0.264423653,4.016909241,1.260406192,0.229738693,0.708527386,-5.164119107
g362,g362,-0.427192291,-0.463712055,-0.403801045,0.692941164,0.937140495,-4.836836482
g3620,NDUFA7,-0.10475771,5.26152464,-0.368791254,0.718236413,0.944090462,-6.064061126
g3621,LATS1,-0.039781436,6.122704568,-0.181438638,0.858829502,0.9762323,-6.186199627
g3622,SPDEF,-0.332588454,3.057212286,-1.403591226,0.183939889,0.671582063,-4.808960277
g3624,KLHL10,0.648161632,-0.709368228,0.645275699,0.530004246,0.876059664,-4.763128244
g3626,KLHL10,0.550538572,-0.919593644,0.347039586,0.73413072,0.948989436,-4.839995429
g3627,TMEM165,-0.260861521,4.110279014,-1.646232847,0.123731072,0.60720099,-4.699936347
g3628,g3628,-0.412121428,0.860455991,-0.903258754,0.382866683,0.807966751,-4.804993978
g3629,KANK1,-0.027607687,5.541751506,-0.236601936,0.816663213,0.966202545,-6.133301735
g363,g363,0.445316665,0.311463938,0.612570287,0.550755679,0.883764856,-4.881880901
g3630,ARID1B,0.222704126,6.658383777,1.805132703,0.094321901,0.562002905,-4.717971891
g3631,g3631,-0.006396442,3.645937727,-0.023371447,0.981709911,0.997417269,-5.821477367
g3632,CYP1A1,-0.184392813,0.725954856,-0.225252859,0.825294656,0.968540958,-5.034694774
g3633,MSANTD3,-0.022750841,3.807372419,-0.066325658,0.948130562,0.992268101,-5.869539175
g3634,g3634,-0.458047595,4.17540473,-1.04961997,0.313067841,0.771075266,-5.414692408
g3635,g3635,0.156673013,1.032122563,0.272410087,0.789597518,0.961928348,-5.092099771
g3636,g3636,0.639334868,-0.155195093,1.042775224,0.316109829,0.774067363,-4.660151009
g3637,g3637,0.58924229,3.107874785,1.727132091,0.107877512,0.586125954,-4.415593084
g3638,g3638,0.219324805,1.126832834,0.494886271,0.628962053,0.914602624,-5.058711597
g3639,PRSS8,0.652811717,3.838837052,0.678927139,0.509124464,0.866424955,-5.59208511
g364,g364,0.740872468,0.284076833,0.804216474,0.435772764,0.835081688,-4.792110013
g3642,PRSS8,0.635088055,4.876483813,1.433456689,0.175404038,0.665325661,-5.086740057
g3645,ALK,0.227002248,3.691552742,1.058593031,0.309112717,0.769385686,-5.302299065
g3646,ABCF1,-0.008520615,4.92748553,-0.036226791,0.97165344,0.995620907,-6.081803744
g3647,NOC2L,0.076694171,5.007244312,0.372884825,0.715260102,0.943459883,-6.0259514
g3648,g3648,0.10489902,4.509625999,0.340665519,0.73881302,0.951282327,-5.949741038
g3649,SLTM,0.036237906,6.935106042,0.229394597,0.822141887,0.967117169,-6.187343641
g365,g365,0.282227778,0.66660622,0.373866284,0.71454723,0.943347342,-5.036463335
g3650,prdx2,-0.008468845,6.192736482,-0.066469371,0.94801835,0.992268101,-6.201832253
g3651,g3651,0.243137638,0.113848291,0.275999213,0.786899619,0.961850353,-4.947120551
g3655,g3655,-0.361407959,2.056571017,-0.344479139,0.736010271,0.950415404,-5.325627787
g3658,g3658,-0.182111783,1.460035216,-0.410052158,0.68846358,0.93710094,-5.155751379
g3659,g3659,0.019845305,-1.508113868,0.013019268,0.989810657,0.998414919,-4.810669009
g366,TNS3,0.278548321,7.768979667,2.07974578,0.057959234,0.508280287,-4.277618673
g3661,g3661,1.768012178,2.566269308,1.134012151,0.277325594,0.743260862,-4.970502222
g3662,MFGE8,-0.716353644,4.858311901,-0.664057255,0.518291017,0.871302709,-5.839825967
g3663,GTF3A,0.255681913,3.806159501,1.677829932,0.117311037,0.599295809,-4.614259524
g3664,UBE2E3,0.145365366,4.828875295,1.001734791,0.334804514,0.785763374,-5.581986608
g3666,SLC18B1,-0.109062299,0.415716968,-0.087968559,0.931246091,0.989733896,-5.022170776
